date,sp500,sp500ret
20000323,1527.35,0.017799
20000324,1527.46,0.000072
20000327,1523.86,-0.002357
20000328,1507.73,-0.010585
20000329,1508.52,0.000524
20000330,1487.92,-0.013656
20000331,1498.58,0.007164
20000403,1505.97,0.004931
20000404,1494.73,-0.007464
20000405,1487.37,-0.004924
20000406,1501.34,0.009392
20000407,1516.35,0.009998
20000410,1504.46,-0.007841
20000411,1500.59,-0.002572
20000412,1467.17,-0.022271
20000413,1440.51,-0.018171
20000414,1356.56,-0.058278
20000417,1401.44,0.033084
20000418,1441.61,0.028663
20000419,1427.47,-0.009808
20000420,1434.54,0.004953
20000424,1429.86,-0.003262
20000425,1477.44,0.033276
20000426,1460.99,-0.011134
20000427,1464.92,0.00269
20000428,1452.43,-0.008526
20000501,1468.25,0.010892
20000502,1446.29,-0.014957
20000503,1415.1,-0.021566
20000504,1409.57,-0.003908
20000505,1432.63,0.01636
20000508,1424.17,-0.005905
20000509,1412.14,-0.008447
20000510,1383.05,-0.0206
20000511,1407.81,0.017902
20000512,1420.96,0.009341
20000515,1452.36,0.022098
20000516,1466.04,0.009419
20000517,1447.8,-0.012442
20000518,1437.21,-0.007315
20000519,1406.95,-0.021055
20000522,1400.72,-0.004428
20000523,1373.86,-0.019176
20000524,1399.05,0.018335
20000525,1381.52,-0.01253
20000526,1378.02,-0.002533
20000530,1422.45,0.032242
20000531,1420.6,-0.001301
20000601,1448.81,0.019858
20000602,1477.26,0.019637
20000605,1467.63,-0.006519
20000606,1457.84,-0.006671
20000607,1471.36,0.009274
20000608,1461.67,-0.006586
20000609,1456.95,-0.003229
20000612,1446,-0.007516
20000613,1469.44,0.01621
20000614,1470.54,0.000749
20000615,1478.73,0.005569
20000616,1464.46,-0.00965
20000619,1486,0.014708
20000620,1475.95,-0.006763
20000621,1479.13,0.002155
20000622,1452.18,-0.01822
20000623,1441.48,-0.007368
20000626,1455.31,0.009594
20000627,1450.55,-0.003271
20000628,1454.82,0.002944
20000629,1442.39,-0.008544
20000630,1454.6,0.008465
20000703,1469.54,0.010271
20000705,1446.23,-0.015862
20000706,1456.67,0.007219
20000707,1478.9,0.015261
20000710,1475.62,-0.002218
20000711,1480.88,0.003565
20000712,1492.92,0.00813
20000713,1495.84,0.001956
20000714,1509.98,0.009453
20000717,1510.49,0.000338
20000718,1493.74,-0.011089
20000719,1481.96,-0.007886
20000720,1495.57,0.009184
20000721,1480.19,-0.010284
20000724,1464.29,-0.010742
20000725,1474.47,0.006952
20000726,1452.42,-0.014955
20000727,1449.62,-0.001928
20000728,1419.89,-0.020509
20000731,1430.83,0.007705
20000801,1438.1,0.005081
20000802,1438.7,0.000417
20000803,1452.56,0.009634
20000804,1462.93,0.007139
20000807,1479.32,0.011204
20000808,1482.8,0.002352
20000809,1472.87,-0.006697
20000810,1460.25,-0.008568
20000811,1471.84,0.007937
20000814,1491.56,0.013398
20000815,1484.43,-0.00478
20000816,1479.85,-0.003085
20000817,1496.07,0.010961
20000818,1491.72,-0.002908
20000821,1499.48,0.005202
20000822,1498.13,-0.0009
20000823,1505.97,0.005233
20000824,1508.31,0.001554
20000825,1506.45,-0.001233
20000828,1514.09,0.005072
20000829,1509.84,-0.002807
20000830,1502.59,-0.004802
20000831,1517.68,0.010043
20000901,1520.77,0.002036
20000905,1507.08,-0.009002
20000906,1492.25,-0.00984
20000907,1502.51,0.006876
20000908,1494.5,-0.005331
20000911,1489.26,-0.003506
20000912,1481.99,-0.004882
20000913,1484.91,0.00197
20000914,1480.87,-0.002721
20000915,1465.81,-0.01017
20000918,1444.51,-0.014531
20000919,1459.9,0.010654
20000920,1451.34,-0.005863
20000921,1449.05,-0.001578
20000922,1448.72,-0.000228
20000925,1439.03,-0.006689
20000926,1427.21,-0.008214
20000927,1426.57,-0.000448
20000928,1458.29,0.022235
20000929,1436.51,-0.014935
20001002,1436.23,-0.000195
20001003,1426.46,-0.006803
20001004,1434.32,0.00551
20001005,1436.28,0.001367
20001006,1408.99,-0.019
20001009,1402.03,-0.00494
20001010,1387.02,-0.010706
20001011,1364.59,-0.016171
20001012,1329.78,-0.025509
20001013,1374.17,0.033381
20001016,1374.62,0.000327
20001017,1349.97,-0.017932
20001018,1342.13,-0.005808
20001019,1388.76,0.034743
20001020,1396.93,0.005883
20001023,1395.78,-0.000823
20001024,1398.13,0.001684
20001025,1364.9,-0.023767
20001026,1364.44,-0.000337
20001027,1379.58,0.011096
20001030,1398.66,0.01383
20001031,1429.4,0.021978
20001101,1421.22,-0.005723
20001102,1428.32,0.004996
20001103,1426.69,-0.001141
20001106,1432.19,0.003855
20001107,1431.87,-0.000223
20001108,1409.28,-0.015777
20001109,1400.14,-0.006486
20001110,1365.98,-0.024398
20001113,1351.26,-0.010776
20001114,1382.95,0.023452
20001115,1389.81,0.00496
20001116,1372.32,-0.012584
20001117,1367.72,-0.003352
20001120,1342.62,-0.018352
20001121,1347.35,0.003523
20001122,1322.36,-0.018548
20001124,1341.77,0.014678
20001127,1348.97,0.005366
20001128,1336.09,-0.009548
20001129,1341.93,0.004371
20001130,1314.95,-0.020105
20001201,1315.23,0.000213
20001204,1324.97,0.007406
20001205,1376.54,0.038922
20001206,1351.46,-0.01822
20001207,1343.55,-0.005853
20001208,1369.89,0.019605
20001211,1380.2,0.007526
20001212,1371.18,-0.006535
20001213,1359.99,-0.008161
20001214,1340.93,-0.014015
20001215,1312.15,-0.021463
20001218,1322.74,0.008071
20001219,1305.6,-0.012958
20001220,1264.74,-0.031296
20001221,1274.86,0.008002
20001222,1305.97,0.024403
20001226,1315.19,0.00706
20001227,1328.92,0.01044
20001228,1334.22,0.003988
20001229,1320.28,-0.010448
20010102,1283.27,-0.028032
20010103,1347.56,0.050099
20010104,1333.34,-0.010552
20010105,1298.35,-0.026242
20010108,1295.86,-0.001918
20010109,1300.8,0.003812
20010110,1313.27,0.009586
20010111,1326.82,0.010318
20010112,1318.32,-0.006406
