ticker,date,factor_1,factor_2,factor_3
WVFC,03/5/30,0.000554132,-0.003157056,0.001223839
WVFC,03/6/30,-0.025587153,-0.027372173,-0.029083932
WVFC,03/7/31,-0.024412183,-0.028020565,-0.022503008
WVFC,03/8/29,-0.030494421,-0.021306709,-0.022503008
WVFC,03/9/30,-0.038651682,-0.040943922,-0.012215257
WVFC,03/10/31,-0.038045345,-0.034998782,-0.01278344
WVFC,03/11/28,-0.038045345,-0.034998782,-0.01278344
WVFC,03/12/31,-0.052880917,-0.026226623,-0.014184635
WVFC,04/1/30,-0.047940698,-0.020494397,-0.007810807
WVFC,04/2/27,-0.039175772,-0.018258082,-0.005545533
WVFC,04/3/31,-0.027536252,0.013980069,0.028569958
WVFC,04/4/30,0.009643115,0.046260975,0.054497451
WVFC,04/5/31,0.009643115,0.046260975,0.052095405
WVFC,04/6/30,0.033480628,0.061315346,0.031835839
WVFC,04/7/30,0.03944419,0.061192695,0.006349228
WVFC,04/8/31,0.037079129,0.056366352,0.004059467
WVFC,04/9/30,0.044623022,0.030220469,-0.00156553
WVFC,04/10/29,0.036374404,-0.009449431,-0.015698982
WVFC,04/11/30,0.013463508,-0.03134731,-0.035263626
WVFC,04/12/31,0.02385352,-0.035297545,-0.033784906
WVFC,05/1/31,0.06377445,0.00243288,0.018421054
WVFC,05/2/28,0.020333765,-0.034109934,0.001195862
WVFC,05/3/31,0.000685814,-0.028668286,0.005295529
WVFC,05/4/29,-0.030188935,-0.020937351,-0.038646496
WVFC,05/5/31,-0.015905745,0.015941281,0.014727807
WVFC,05/6/30,-0.002995558,0.033483886,0.028039871
WVFC,05/7/29,-0.021222288,-0.023597757,0.015653699
WVFC,05/8/31,-0.008873522,0.026127624,0.01123436
WVFC,05/9/30,0.009015526,0.038796027,0.010462781
WVFC,05/10/31,0.017046391,0.038796027,0.022785649
WVFC,05/11/30,0.014514591,-0.001404304,-0.012498254
WVFC,05/12/30,0.020555802,-0.012509227,-0.022734145
WVFC,06/1/31,-0.022850612,0.000765202,-0.021529874
WVFC,06/2/28,0.019497038,-0.006461756,0.006112899
WVFC,06/3/31,0.08349578,0.043030347,0.067294372
WVFC,06/4/28,0.08349578,0.043030347,0.065980779
WVFC,06/5/31,0.067769872,0.069271454,0.062774819
WVFC,06/6/30,0.050773588,0.064084462,-0.003007521
WVFC,06/7/31,0.057122456,0.056314162,-0.009068284
WVFC,06/8/31,0.046332159,0.053137275,-0.009068284
WVFC,06/9/29,0.033571851,-0.009068284,-0.006079046
WVFC,06/10/31,0.036607306,-0.006158057,0.00293686
WVFC,06/11/30,0.070355068,0.001013413,0.010173958
WVFC,06/12/29,0.081248138,0.016129994,0.022344876
WVFC,07/1/31,0.084505798,0.026688685,0.023682273
WVFC,07/2/28,0.087108071,0.03225676,0.021860395
WVFC,07/3/30,0.043925401,0.053478645,0.030453294
WVFC,07/4/30,0.062223746,0.068805511,0.044079339
WVFC,07/5/31,0.065408827,0.06433022,0.041561279
WVFC,07/6/29,0.065369693,0.04845807,0.017472676
WVFC,07/7/31,0.078401778,0.050368816,0.006023946
WVFC,07/8/31,0.081684587,0.047883268,0.006069723
WVFC,07/9/28,0.081684587,0.026774099,0.009141694
WVFC,07/10/31,0.104197326,0.033113428,0.026927274
WVFC,07/11/30,0.121861075,0.054053577,0.047694362
WVFC,07/12/31,0.130996625,0.078723754,0.068951724
WVFC,08/1/31,0.140158571,0.085484025,0.057021323
WVFC,08/2/29,0.13330781,0.081521048,0.032286789
WVFC,08/3/31,0.1104778,0.081521048,0.011758552
WVFC,08/4/30,0.104905504,0.069490991,0.011796989
WVFC,08/5/30,0.101602346,0.045110392,0.01242252
WVFC,08/6/30,0.092527247,0.012796133,0.001025523
WVFC,08/7/31,0.083204234,-0.002100254,-0.013735208
WVFC,08/8/29,0.081946097,0.00039301,-0.011881907
WVFC,08/9/30,0.108662173,0.025095327,0.024045145
WVFC,08/10/31,0.155316446,0.080248881,0.095292958
WVFC,08/11/28,0.1233485,0.074861095,0.087786068
WVFC,08/12/31,0.099632271,0.08573901,0.060245259
WVFC,09/1/30,0.105142188,0.107468152,0.011115925
WVFC,09/2/27,0.105825429,0.105391,0.016184186
WVFC,09/3/31,0.080319264,0.053872001,-0.006011116
WVFC,09/4/30,0.056446008,-0.022034619,-0.032786097
WVFC,09/5/29,0.105812146,0.028795397,0.012410359
WVFC,09/6/30,0.128139566,0.039052255,0.045335891
WVFC,09/7/31,0.143366453,0.032414748,0.067410987
WVFC,09/8/31,0.126106226,0.01874018,0.006252229
WVFC,09/9/30,0.098969791,0.042792473,-0.00243311
WVFC,09/10/30,0.03006442,0.053272887,-0.013245227
WVFC,09/11/30,0.027049388,-0.001697139,-0.007899975
WVFC,09/12/31,0.038389252,-0.000638084,0.001799404
WVFC,10/1/29,0.020573305,-0.011469656,0.001799404
WVFC,10/2/26,0.031149289,0.012180838,0.020240714
WVFC,10/3/31,0.055494559,0.012180838,0.010362787
WVFC,10/4/30,0.094657215,0.039291174,0.037424429
WVFC,10/5/31,0.04578906,0.047566927,0.026784084
WVFC,10/6/30,0.036762464,0.037424429,0.026784084
WVFC,10/7/30,0.049101865,0.061274317,0.022989518
WVFC,10/8/31,0.12142769,0.107932149,0.079031284
WVFC,10/9/30,0.083973934,0.07092912,0.042993495
WVFC,10/10/29,0.101701657,0.060051008,0.036228611
WVFC,10/11/30,0.110474377,0.060051008,-0.017590108
WVFC,10/12/31,0.110665417,0.070598866,0.026467443
WVFC,11/1/31,0.134524608,0.069021072,0.031645972
WVFC,11/2/28,0.142193501,0.030923692,0.049382442
WVFC,11/3/31,0.135662932,0.060446402,0.033102812
WVFC,11/4/29,0.103536347,0.041021931,0.00908835
WVFC,11/5/31,0.124186502,0.060502272,0.010596546
WVFC,11/6/30,0.14246636,0.067128311,0.03293525
WVFC,11/7/29,0.107006101,0.035532535,0.026206015
WVFC,11/8/31,-0.032737826,-0.061751921,-0.071589862
WVFC,11/9/30,0.094718354,0.03231842,-0.000597163
WVFC,11/10/31,0.077103001,0.034659279,0.008237394
WVFC,11/11/30,0.028956304,-0.029746252,0.045070177
WVFC,11/12/30,0.010968675,-0.052626883,-0.052060808
WVFC,12/1/31,-0.01029212,-0.044252259,-0.052060808
WVFC,12/2/29,-0.027019982,0.037017863,-0.007705046
WVFC,12/3/30,-0.057013382,-0.086535124,-0.036367644
WVFC,12/4/30,-0.026326796,-0.058943148,-0.007260317
WVFC,12/5/31,-0.090725754,-0.062849025,-0.055572165
WVFC,12/6/29,-0.086825855,-0.036098736,0.000279057
WVFC,12/7/31,-0.156029065,-0.116952204,-0.110494109
WVFC,12/8/31,-0.068244542,-0.10150491,-0.048635527
WVFC,12/9/28,-0.158384834,-0.078656238,-0.078913273
WVFC,12/10/31,-0.158384834,-0.105670222,0.005423109
WVFC,12/11/30,-0.129618699,-0.07124751,-0.02376795
WVFC,12/12/31,-0.122860297,-0.090010838,-0.012048339
WVFC,13/1/31,-0.11823158,-0.001448818,-0.006834861
WVFC,13/2/28,-0.114022654,-0.0139319,0.010075525
WVFC,13/3/29,-0.080585723,-0.002094207,0.010075525
WVFC,13/4/30,-0.049221185,0.063118817,0.070435092
WVFC,13/5/31,0.002947052,0.07988626,0.069114371
WVFC,13/6/28,-0.047958196,0.046212245,0.035776255
WVFC,13/7/31,0.046046227,0.047563957,-0.021366205
WVFC,13/8/30,0.023357075,0.037815821,-0.029275212
WVFC,13/9/30,0.019844966,0.021985215,-0.013314691
WVFC,13/10/31,0.016146522,-0.044183486,-0.023315444
WVFC,13/11/29,0.037640876,-0.039120216,-0.010141911
WVFC,13/12/31,0.059036291,0.012257595,0.025917368
WVFC,14/1/31,0.053477033,0.005644596,0.029651375
WVFC,14/2/28,0.048472382,0.010268258,0.020619287
WVFC,14/3/31,0.048472382,0.025917368,0
WVFC,14/4/30,-0.022520153,0.02266474,-0.006785437
WVFC,14/5/30,0.00520315,0.0461279,0.024993269
WVFC,14/6/30,0.040422085,0.027823441,0.027823441
WVFC,14/7/31,0.040229745,0.034391025,0.041457772
WVFC,14/8/29,0.05638166,0.04564471,0.02014788
WVFC,14/9/30,0.074720659,0.047570392,0.019212396
WVFC,14/10/31,0.078632294,0.054727177,0.012741184
WVFC,14/11/28,0.077994562,0.030461536,0.010109962
WVFC,14/12/31,0.042587354,0.01436425,-0.004756757
WVFC,15/1/30,0.038044483,0.003531989,-0.009093335
WVFC,15/2/27,0.065167289,0.018670375,0.008474734
WVFC,15/3/31,0.170022435,0.11689147,0.122229643
WVFC,15/4/30,0.18088317,0.119610071,0.12988449
WVFC,15/5/29,0.128859987,0.095489688,0.086283723
WVFC,15/6/30,0.108636808,0.092937579,-0.026101667
WVFC,15/7/31,0.097638795,0.093775591,-0.031958044
WVFC,15/8/31,0.085825526,0.06592432,-0.018742252
WVFC,15/9/30,0.070801365,-0.041266414,-0.015571181
WVFC,15/10/30,0.068983365,-0.045218159,-0.013697872
WVFC,15/11/30,0.063686642,-0.029030895,-0.010485158
WVFC,15/12/31,0.102405291,0.008662628,0.024617126
WVFC,16/1/29,0.111084419,0.015824844,0.02993273
WVFC,16/2/29,0.12108401,0.051748223,0.062892823
WVFC,16/3/31,0.037558382,0.082217622,0.056216605
WVFC,16/4/29,0.026311823,0.074917618,0.043677501
WVFC,16/5/31,0.043885874,0.075096899,0.011481944
WVFC,16/6/30,0.040205006,0.031271485,-0.023617428
WVFC,16/7/29,0.068542363,0.051896269,0.007874815
WVFC,16/8/31,0.020263244,-0.029935852,-0.040947638
WVFC,16/9/30,0.090290945,0.007459981,0.031829132
WVFC,16/10/31,0.092145182,0.016026869,0.008088359
WVFC,16/11/30,0.101103043,0.024189581,0.067918314
WVFC,16/12/30,0.078512633,0.045808643,0.013548282
WVFC,17/1/31,0.093018866,0.039093775,0.030756645
WVFC,17/2/28,0.044624208,0.076860959,0.008373904
WVFC,17/3/31,0.024134131,0.016550682,0.002962267
WVFC,17/4/28,0.033529766,0.017226805,-0.013126125
WVFC,17/5/31,0.027987353,0.003708075,-0.004627082
WVFC,17/6/30,0.055387976,0.009159737,0.006179166
WVFC,17/7/31,0.036254251,-0.002732693,0.010531672
WVFC,17/8/31,0.07215164,-0.004373191,0.000255071
WVFC,17/9/29,0.045249325,0.028231394,0.021916801
WVFC,17/10/31,0.070565715,0.052435612,0.041467221
WVFC,17/11/30,0.023703664,0.019921718,0.019661632
WVFC,17/12/29,0.007863643,-0.00128433,-0.022703542
WVFC,18/1/31,-0.010134657,-0.007422247,-0.046942877
WVFC,18/2/28,0.04790676,0.052509586,0.032214563
WVFC,18/3/30,0.051417339,0.022549345,0.046304155
WVFC,18/4/30,0.071707323,0.018311534,0.068468521
WVFC,18/5/31,0.080457011,0.059352882,0.026291355
WVFC,18/6/29,0.082198038,0.083589725,0.035635498
WVFC,18/7/31,0.075506648,0.083549016,0.014114123
WVFC,18/8/31,0.063163691,0.010122574,-0.015754572
WVFC,18/9/28,0.032262386,0.009498849,-0.025237306
WVFC,18/10/31,0.041436932,0.022709551,0.0084758
WVFC,18/11/30,0.058266645,-0.001025378,0.014964961
WVFC,18/12/31,0.056851569,-0.024675535,0.000576315
ARTNA,00/12/29,0.185275946,0.090087253,0.019015771
ARTNA,01/1/31,0.202199607,0.065468944,0.029055416
ARTNA,01/2/28,0.20293968,0.027491444,0.001718197
ARTNA,01/3/30,0.176186101,0.023726617,0.004622937
ARTNA,01/4/30,0.150012631,0.023726617,-0.005178341
ARTNA,01/5/31,0.143320007,0.011587422,0.009852296
ARTNA,01/6/29,0.124751502,0.031799517,0.027051523
ARTNA,01/7/31,0.097038518,0.029629745,0.034989273
ARTNA,01/8/31,0.073919974,0.045186294,0.034989273
ARTNA,01/9/28,-0.011792239,-0.034695645,-0.060120808
ARTNA,01/10/31,-0.023225545,-0.045863965,-0.07811988
ARTNA,01/11/30,-0.042325098,-0.053294969,-0.085299668
ARTNA,01/12/31,-0.048918411,-0.078230244,-0.019267833
ARTNA,02/1/31,-0.028296321,-0.056259123,0.023713232
ARTNA,02/2/28,-0.03591117,-0.077591396,0.0084271
ARTNA,02/3/29,-0.04531699,-0.011003105,0.0084271
ARTNA,02/4/30,-0.008719594,0.038929848,0.014864139
ARTNA,02/5/31,-0.031995124,0.022498925,0.01395423
ARTNA,02/6/28,-0.032277251,0.049853005,0.041079722
ARTNA,02/7/31,-0.026611329,0.031415185,0.016308632
ARTNA,02/8/30,-0.035449421,0.045686884,0.031295943
ARTNA,02/9/30,0.048218087,0.059880058,0.018058498
ARTNA,02/10/31,0.067362799,0.027367537,0.010881444
ARTNA,02/11/29,0.04831611,0.025249108,-0.005863337
ARTNA,02/12/31,0.05309931,0.003092151,-0.014700871
ARTNA,03/1/31,0.027490713,-0.003804939,-0.014528294
ARTNA,03/2/28,0.040874019,-0.004602588,0.001268185
ARTNA,03/3/31,0.044770968,-0.014255471,0.000452045
ARTNA,03/4/30,0.0181565,-0.008965669,0.005644632
ARTNA,03/5/30,0.042637918,0.01696057,0.01567251
ARTNA,03/6/30,0.001604212,-0.001483352,-0.001934523
ARTNA,03/7/31,-0.023768351,-0.020039661,-0.025540129
ARTNA,03/8/29,-0.011702612,-0.007132854,-0.022453462
