ticker,date,price
002044.SZ,2013-07-24,1.73
002044.SZ,2013-07-25,1.72
002044.SZ,2013-07-26,1.71
002044.SZ,2013-07-29,1.65
002044.SZ,2013-07-30,1.67
002044.SZ,2013-07-31,1.68
002044.SZ,2013-08-01,1.73
002044.SZ,2013-08-02,1.73
002044.SZ,2013-08-05,1.77
002044.SZ,2013-08-06,1.79
002044.SZ,2013-08-07,1.85
002044.SZ,2013-08-08,1.83
002044.SZ,2013-08-09,1.82
002044.SZ,2013-08-12,1.84
002044.SZ,2013-08-13,1.85
002044.SZ,2013-08-14,1.83
002044.SZ,2013-08-15,1.83
002044.SZ,2013-08-16,1.79
002044.SZ,2013-08-19,1.81
002044.SZ,2013-08-20,1.82
002044.SZ,2013-08-21,1.83
002044.SZ,2013-08-22,1.86
002044.SZ,2013-08-23,1.83
002044.SZ,2013-08-26,1.85
002044.SZ,2013-08-27,1.88
002044.SZ,2013-08-28,1.88
002044.SZ,2013-08-29,1.9
002044.SZ,2013-08-30,1.85
002044.SZ,2013-09-02,1.81
002044.SZ,2013-09-03,1.85
002044.SZ,2013-09-04,1.89
002044.SZ,2013-09-05,1.87
002044.SZ,2013-09-06,1.91
002044.SZ,2013-09-09,1.95
002044.SZ,2013-09-10,1.95
002044.SZ,2013-09-11,1.92
002044.SZ,2013-09-12,1.91
002044.SZ,2013-09-13,1.97
002044.SZ,2013-09-16,1.93
002044.SZ,2013-09-17,1.9
002044.SZ,2013-09-18,1.92
002044.SZ,2013-09-19,1.92
002044.SZ,2013-09-20,1.92
002044.SZ,2013-09-23,1.92
002044.SZ,2013-09-24,1.9
002044.SZ,2013-09-25,1.9
002044.SZ,2013-09-26,1.84
002044.SZ,2013-09-27,1.82
002044.SZ,2013-09-30,1.83
002044.SZ,2013-10-01,1.83
002044.SZ,2013-10-02,1.83
002044.SZ,2013-10-03,1.83
002044.SZ,2013-10-04,1.83
002044.SZ,2013-10-07,1.83
002044.SZ,2013-10-08,1.86
002044.SZ,2013-10-09,1.88
002044.SZ,2013-10-10,1.89
002044.SZ,2013-10-11,1.92
002044.SZ,2013-10-14,2.03
002044.SZ,2013-10-15,2.07
002044.SZ,2013-10-16,2.03
002044.SZ,2013-10-17,2.02
002044.SZ,2013-10-18,2.02
002044.SZ,2013-10-21,2.11
002044.SZ,2013-10-22,2.09
002044.SZ,2013-10-23,2.08
002044.SZ,2013-10-24,2.16
002044.SZ,2013-10-25,2.18
002044.SZ,2013-10-28,2.09
002044.SZ,2013-10-29,1.9
002044.SZ,2013-10-30,1.92
002044.SZ,2013-10-31,1.9
002044.SZ,2013-11-01,1.92
002044.SZ,2013-11-04,1.95
002044.SZ,2013-11-05,1.97
002044.SZ,2013-11-06,1.92
002044.SZ,2013-11-07,1.85
002044.SZ,2013-11-08,1.85
002044.SZ,2013-11-11,1.89
002044.SZ,2013-11-12,1.9
002044.SZ,2013-11-13,1.92
002044.SZ,2013-11-14,1.95
002044.SZ,2013-11-15,1.97
002044.SZ,2013-11-18,1.96
002044.SZ,2013-11-19,1.91
002044.SZ,2013-11-20,2.03
002044.SZ,2013-11-21,2.02
002044.SZ,2013-11-22,2.0
002044.SZ,2013-11-25,2.02
002044.SZ,2013-11-26,2.03
002044.SZ,2013-11-27,2.09
002044.SZ,2013-11-28,2.06
002044.SZ,2013-11-29,2.05
002044.SZ,2013-12-02,1.94
002044.SZ,2013-12-03,1.98
002044.SZ,2013-12-04,1.97
002044.SZ,2013-12-05,1.95
002044.SZ,2013-12-06,2.01
002044.SZ,2013-12-09,2.06
002044.SZ,2013-12-10,2.06
002044.SZ,2013-12-11,2.03
002044.SZ,2013-12-12,1.99
002044.SZ,2013-12-13,2.0
002044.SZ,2013-12-16,1.98
002044.SZ,2013-12-17,2.01
002044.SZ,2013-12-18,1.99
002044.SZ,2013-12-19,1.98
002044.SZ,2013-12-20,1.92
002044.SZ,2013-12-23,1.93
002044.SZ,2013-12-24,1.94
002044.SZ,2013-12-25,1.97
002044.SZ,2013-12-26,1.98
002044.SZ,2013-12-27,2.0
002044.SZ,2013-12-30,1.98
002044.SZ,2013-12-31,1.97
002044.SZ,2014-01-01,1.97
002044.SZ,2014-01-02,1.99
002044.SZ,2014-01-03,2.0
002044.SZ,2014-01-06,1.93
002044.SZ,2014-01-07,1.93
002044.SZ,2014-01-08,1.95
002044.SZ,2014-01-09,1.91
002044.SZ,2014-01-10,1.83
002044.SZ,2014-01-13,1.83
002044.SZ,2014-01-14,1.86
002044.SZ,2014-01-15,1.86
002044.SZ,2014-01-16,1.88
002044.SZ,2014-01-17,1.84
002044.SZ,2014-01-20,1.83
002044.SZ,2014-01-21,1.86
002044.SZ,2014-01-22,1.88
002044.SZ,2014-01-23,1.9
002044.SZ,2014-01-24,1.9
002044.SZ,2014-01-27,1.85
002044.SZ,2014-01-28,1.82
002044.SZ,2014-01-29,1.88
002044.SZ,2014-01-30,1.9
002044.SZ,2014-01-31,1.9
002044.SZ,2014-02-03,1.9
002044.SZ,2014-02-04,1.9
002044.SZ,2014-02-05,1.9
002044.SZ,2014-02-06,1.9
002044.SZ,2014-02-07,1.95
002044.SZ,2014-02-10,1.99
002044.SZ,2014-02-11,2.0
002044.SZ,2014-02-12,2.0
002044.SZ,2014-02-13,1.94
002044.SZ,2014-02-14,1.98
002044.SZ,2014-02-17,2.02
002044.SZ,2014-02-18,2.02
002044.SZ,2014-02-19,2.06
002044.SZ,2014-02-20,2.02
002044.SZ,2014-02-21,1.98
002044.SZ,2014-02-24,2.03
002044.SZ,2014-02-25,1.95
002044.SZ,2014-02-26,1.92
002044.SZ,2014-02-27,1.87
002044.SZ,2014-02-28,1.88
002044.SZ,2014-03-03,1.9
002044.SZ,2014-03-04,1.88
002044.SZ,2014-03-05,1.87
002044.SZ,2014-03-06,1.88
002044.SZ,2014-03-07,1.86
002044.SZ,2014-03-10,1.76
002044.SZ,2014-03-11,1.77
002044.SZ,2014-03-12,1.77
002044.SZ,2014-03-13,1.78
002044.SZ,2014-03-14,1.77
002044.SZ,2014-03-17,1.82
002044.SZ,2014-03-18,1.81
002044.SZ,2014-03-19,1.82
002044.SZ,2014-03-20,1.78
002044.SZ,2014-03-21,1.82
002044.SZ,2014-03-24,1.82
002044.SZ,2014-03-25,1.84
002044.SZ,2014-03-26,1.83
002044.SZ,2014-03-27,1.8
002044.SZ,2014-03-28,1.75
002044.SZ,2014-03-31,1.74
002044.SZ,2014-04-01,1.79
002044.SZ,2014-04-02,1.78
002044.SZ,2014-04-03,1.77
002044.SZ,2014-04-04,1.76
002044.SZ,2014-04-07,1.76
002044.SZ,2014-04-08,1.78
002044.SZ,2014-04-09,1.78
002044.SZ,2014-04-10,1.79
002044.SZ,2014-04-11,1.79
002044.SZ,2014-04-14,1.81
002044.SZ,2014-04-15,1.8
002044.SZ,2014-04-16,1.79
002044.SZ,2014-04-17,1.78
002044.SZ,2014-04-18,1.78
002044.SZ,2014-04-21,1.74
002044.SZ,2014-04-22,1.76
002044.SZ,2014-04-23,1.77
002044.SZ,2014-04-24,1.77
002044.SZ,2014-04-25,1.74
002044.SZ,2014-04-28,1.66
002044.SZ,2014-04-29,1.69
002044.SZ,2014-04-30,1.69
002044.SZ,2014-05-01,1.69
002044.SZ,2014-05-02,1.69
002044.SZ,2014-05-05,1.72
002044.SZ,2014-05-06,1.73
002044.SZ,2014-05-07,1.71
002044.SZ,2014-05-08,1.75
002044.SZ,2014-05-09,1.73
002044.SZ,2014-05-12,1.76
002044.SZ,2014-05-13,1.76
002044.SZ,2014-05-14,1.78
002044.SZ,2014-05-15,1.71
002044.SZ,2014-05-16,1.71
002044.SZ,2014-05-19,1.68
002044.SZ,2014-05-20,1.7
002044.SZ,2014-05-21,1.71
002044.SZ,2014-05-22,1.71
002044.SZ,2014-05-23,1.72
002044.SZ,2014-05-26,1.74
002044.SZ,2014-05-27,1.73
002044.SZ,2014-05-28,1.74
002044.SZ,2014-05-29,1.72
002044.SZ,2014-05-30,1.75
002044.SZ,2014-06-02,1.75
002044.SZ,2014-06-03,1.72
002044.SZ,2014-06-04,1.7
002044.SZ,2014-06-05,1.72
002044.SZ,2014-06-06,1.72
002044.SZ,2014-06-09,1.74
002044.SZ,2014-06-10,1.75
002044.SZ,2014-06-11,1.76
002044.SZ,2014-06-12,1.75
002044.SZ,2014-06-13,1.76
002044.SZ,2014-06-16,1.77
002044.SZ,2014-06-17,1.76
002044.SZ,2014-06-18,1.74
002044.SZ,2014-06-19,1.72
002044.SZ,2014-06-20,1.71
002044.SZ,2014-06-23,1.73
002044.SZ,2014-06-24,1.72
002044.SZ,2014-06-25,1.71
002044.SZ,2014-06-26,1.77
002044.SZ,2014-06-27,1.76
002044.SZ,2014-06-30,1.79
002044.SZ,2014-07-01,1.78
002044.SZ,2014-07-02,1.82
002044.SZ,2014-07-03,1.81
002044.SZ,2014-07-04,1.81
002044.SZ,2014-07-07,1.9
002044.SZ,2014-07-08,1.97
002044.SZ,2014-07-09,1.94
002044.SZ,2014-07-10,1.92
002044.SZ,2014-07-11,1.94
002044.SZ,2014-07-14,1.94
002044.SZ,2014-07-15,1.91
002044.SZ,2014-07-16,1.87
002044.SZ,2014-07-17,1.88
002044.SZ,2014-07-18,1.88
002044.SZ,2014-07-21,1.91
002044.SZ,2014-07-22,1.92
002044.SZ,2014-07-23,1.89
002044.SZ,2014-07-24,1.85
